,MAL_ID,Genres,Type,Episodes,Rating,Popularity,Cleaned_Name,Year_Premiered,Duration_in_Minutes
163,24439,"Action, Comedy, Super Power, Supernatural, Vampire, Fantasy, Shounen",TV,12,R - 17+ (violence & profanity),164,Blood Blockade Battlefront,2015,26.0
164,35062,"Slice of Life, Magic, Fantasy, Shounen",TV,24,PG-13 - Teens 13 or older,165,The Ancient Magus' Bride,2017,24.0
165,2236,"Adventure, Drama, Romance, Sci-Fi",Movie,1,G - All Ages,166,The Girl Who Leapt Through Time,2006,98.0
166,457,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV,26,PG-13 - Teens 13 or older,167,Mushi-Shi,2005,25.0
167,13125,"Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural",TV,25,R - 17+ (violence & profanity),168,From the New World,2012,22.0
168,39587,"Psychological, Drama, Thriller, Fantasy",TV,13,R - 17+ (violence & profanity),169,Re:ZERO -Starting Life in Another World- Season 2,2020,26.0
169,19,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,R+ - Mild Nudity,169,Monster,2004,24.0
170,12355,"Fantasy, Slice of Life",Movie,1,PG - Children,170,Wolf Children,2012,117.0
171,227,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha",OVA,6,PG-13 - Teens 13 or older,171,FLCL,2000,25.0
172,33674,"Game, Supernatural, Drama, Romance, Fantasy",Movie,1,PG-13 - Teens 13 or older,173,No Game No Life: Zero,2017,106.0
173,25157,"Action, Harem, Comedy, Supernatural, Magic, Romance, Ecchi, Fantasy, School, Shounen",TV,12,PG-13 - Teens 13 or older,174,Trinity Seven,2014,24.0
174,28701,"Action, Fantasy, Magic, Supernatural",TV,13,R - 17+ (violence & profanity),175,Fate/stay night [Unlimited Blade Works] Season 2,2015,23.0
175,28907,"Action, Adventure, Fantasy, Military",TV,12,R - 17+ (violence & profanity),177,GATE (2015),2015,23.0
176,32615,"Action, Military, Magic",TV,12,R - 17+ (violence & profanity),177,The Saga of Tanya the Evil,2017,24.0
177,11759,"Action, Game, Sci-Fi, Romance, School",TV,24,PG-13 - Teens 13 or older,178,Accel World,2012,24.0
178,14467,"Action, Mystery, Super Power, Supernatural",TV,13,PG-13 - Teens 13 or older,178,K,2012,24.0
179,11843,"Slice of Life, Comedy, School",TV,12,PG-13 - Teens 13 or older,180,Daily Lives of High School Boys,2012,24.0
180,28623,"Action, Horror, Supernatural, Drama, Fantasy",TV,12,R - 17+ (violence & profanity),181,Kabaneri of the Iron Fortress,2016,22.0
181,21995,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,12,PG-13 - Teens 13 or older,182,Blue Spring Ride,2014,23.0
182,33255,"Comedy, School, Shounen, Slice of Life, Supernatural",TV,120,PG-13 - Teens 13 or older,183,The Disastrous Life of Saiki K.,2016,5.0
183,245,"Slice of Life, Comedy, Drama, School, Shounen",TV,43,R - 17+ (violence & profanity),184,Great Teacher Onizuka,1999,25.0
184,30484,"Sci-Fi, Thriller",TV,23,PG-13 - Teens 13 or older,185,Steins;Gate 0,2018,23.0
185,25013,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,24,PG-13 - Teens 13 or older,185,Yona of the Dawn,2014,24.0
186,16894,"Comedy, Sports, School, Shounen",TV,25,PG-13 - Teens 13 or older,185,Kuroko's Basketball 2,2013,24.0
187,249,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",TV,167,PG-13 - Teens 13 or older,187,InuYasha,2000,24.0
188,18507,"Slice of Life, Comedy, Sports, Drama, School",TV,12,PG-13 - Teens 13 or older,189,Free! - Iwatobi Swim Club,2013,24.0
189,35507,"Slice of Life, Psychological, Drama, School",TV,12,PG-13 - Teens 13 or older,190,Classroom of the Elite,2017,24.0
190,32995,"Comedy, Sports",TV,12,PG-13 - Teens 13 or older,191,Yuri!!! On ICE,2016,23.0
191,16782,"Slice of Life, Psychological, Drama, Romance",Movie,1,PG-13 - Teens 13 or older,192,The Garden of Words,2013,46.0
192,24703,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,R+ - Mild Nudity,193,High School DxD BorN,2015,24.0
193,1482,"Action, Adventure, Comedy, Super Power, Demons, Shounen",TV,103,PG-13 - Teens 13 or older,194,D.Gray-man,2006,23.0
194,32,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,R+ - Mild Nudity,195,Neon Genesis Evangelion:The End of Evangelion,1997,87.0
195,11597,"Mystery, Comedy, Supernatural, Ecchi",TV,11,R - 17+ (violence & profanity),195,Nisemonogatari,2012,24.0
196,8769,"Slice of Life, Comedy",TV,12,PG-13 - Teens 13 or older,196,OreImo,2010,24.0
197,47,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,R+ - Mild Nudity,197,AKIRA,1988,124.0
198,28677,"Harem, Mystery, Comedy, Supernatural, Romance, School, Shounen",TV,12,PG-13 - Teens 13 or older,199,Yamada-kun and the Seven Witches,2015,24.0
